image_name,damage,occlusion,crop
Co Rd 246/img/071_31.476521_-97.705190.png,0,0,0
Co Rd 246/img/072_31.476531_-97.704980.png,0,0,0
Co Rd 246/img/073_31.476556_-97.704771.png,0,0,0
Co Rd 246/img/074_31.476588_-97.704564.png,0,0,0
Co Rd 246/img/075_31.476621_-97.704358.png,0,0,0
Co Rd 246/img/076_31.476660_-97.704152.png,0,0,0
Co Rd 246/img/077_31.476712_-97.703951.png,0,0,0
Co Rd 246/img/078_31.476781_-97.703756.png,0,0,0
Co Rd 246/img/079_31.476851_-97.703562.png,0,0,1
Co Rd 246/img/080_31.476929_-97.703372.png,0,0,1
Co Rd 246/img/081_31.477007_-97.703182.png,0,0,1
Co Rd 246/img/082_31.477096_-97.702999.png,0,0,0
Co Rd 246/img/083_31.477185_-97.702816.png,0,0,0
Co Rd 246/img/084_31.477293_-97.702648.png,0,0,0
Co Rd 246/img/085_31.477402_-97.702480.png,0,0,1
Co Rd 246/img/086_31.477514_-97.702314.png,0,0,0
Co Rd 246/img/087_31.477633_-97.702157.png,0,0,0
Co Rd 246/img/088_31.477753_-97.702000.png,0,0,0
Co Rd 246/img/089_31.477873_-97.701842.png,0,0,0
Co Rd 246/img/090_31.477992_-97.701684.png,0,0,0
Co Rd 246/img/091_31.478115_-97.701530.png,0,0,0
Co Rd 246/img/092_31.478238_-97.701376.png,0,0,0
Co Rd 246/img/093_31.478361_-97.701223.png,0,0,0
Co Rd 246/img/094_31.478490_-97.701075.png,0,0,0
Co Rd 246/img/095_31.478624_-97.700935.png,0,0,0
Co Rd 246/img/096_31.478759_-97.700794.png,0,1,0
Co Rd 246/img/097_31.478907_-97.700675.png,0,0,0
Co Rd 246/img/098_31.479056_-97.700555.png,0,0,0
Co Rd 246/img/099_31.479209_-97.700443.png,0,0,0
Co Rd 246/img/1000_31.508067_-97.653642.png,0,0,0
Co Rd 246/img/1001_31.508238_-97.653707.png,0,0,0
Co Rd 246/img/1002_31.508413_-97.653761.png,0,0,0
Co Rd 246/img/1003_31.508587_-97.653815.png,0,0,0
Co Rd 246/img/1004_31.508761_-97.653869.png,0,0,0
Co Rd 246/img/1005_31.508935_-97.653925.png,0,0,0
Co Rd 246/img/1006_31.509107_-97.653991.png,0,0,0
Co Rd 246/img/1007_31.509270_-97.654079.png,0,0,0
Co Rd 246/img/1008_31.509428_-97.654181.png,0,0,0
Co Rd 246/img/1009_31.509577_-97.654299.png,0,0,0
Co Rd 246/img/100_31.479368_-97.700344.png,0,0,0
Co Rd 246/img/1010_31.509718_-97.654431.png,0,0,0
Co Rd 246/img/1011_31.509850_-97.654574.png,0,0,0
Co Rd 246/img/1012_31.509965_-97.654735.png,0,0,0
Co Rd 246/img/1013_31.510081_-97.654897.png,0,0,1
Co Rd 246/img/1014_31.510195_-97.655060.png,0,0,0
Co Rd 246/img/1015_31.510303_-97.655229.png,0,1,0
Co Rd 246/img/1016_31.510405_-97.655403.png,0,0,0
Co Rd 246/img/1017_31.510503_-97.655579.png,0,0,0
Co Rd 246/img/1018_31.510611_-97.655748.png,0,0,0
Co Rd 246/img/1019_31.510755_-97.655863.png,0,1,0
Co Rd 246/img/101_31.479529_-97.700250.png,0,0,0
Co Rd 246/img/1020_31.510934_-97.655847.png,0,0,1
Co Rd 246/img/1021_31.511109_-97.655799.png,0,0,0
Co Rd 246/img/1022_31.511283_-97.655742.png,0,0,0
Co Rd 246/img/1023_31.511456_-97.655684.png,0,0,0
Co Rd 246/img/1024_31.511630_-97.655626.png,0,0,0
Co Rd 246/img/1025_31.511803_-97.655568.png,0,1,0
Co Rd 246/img/1026_31.511977_-97.655510.png,0,0,0
Co Rd 246/img/1027_31.512150_-97.655452.png,0,0,0
Co Rd 246/img/1028_31.512324_-97.655395.png,0,1,0
Co Rd 246/img/1029_31.512496_-97.655334.png,0,0,0
Co Rd 246/img/102_31.479690_-97.700156.png,0,1,0
Co Rd 246/img/1030_31.512668_-97.655268.png,0,0,0
Co Rd 246/img/1031_31.512839_-97.655202.png,0,0,0
Co Rd 246/img/1032_31.513010_-97.655136.png,0,0,1
Co Rd 246/img/1033_31.513183_-97.655075.png,0,0,0
Co Rd 246/img/1034_31.513356_-97.655014.png,0,0,0
Co Rd 246/img/1035_31.513528_-97.654952.png,0,0,0
Co Rd 246/img/1036_31.513699_-97.654884.png,0,0,0
Co Rd 246/img/1037_31.513870_-97.654816.png,0,0,0
Co Rd 246/img/1038_31.514040_-97.654748.png,0,0,1
Co Rd 246/img/1039_31.514211_-97.654680.png,0,0,1
Co Rd 246/img/103_31.479852_-97.700062.png,0,0,0
Co Rd 246/img/1040_31.514383_-97.654614.png,0,0,0
Co Rd 246/img/1041_31.514556_-97.654557.png,0,0,0
Co Rd 246/img/1042_31.514730_-97.654499.png,0,0,0
Co Rd 246/img/1043_31.514903_-97.654442.png,0,1,0
Co Rd 246/img/1044_31.515077_-97.654384.png,0,0,0
Co Rd 246/img/1045_31.515249_-97.654322.png,0,0,0
Co Rd 246/img/1046_31.515421_-97.654257.png,0,0,0
Co Rd 246/img/1047_31.515593_-97.654193.png,0,0,0
Co Rd 246/img/1048_31.515764_-97.654129.png,0,0,0
Co Rd 246/img/1049_31.515936_-97.654065.png,0,1,0
Co Rd 246/img/104_31.480013_-97.699967.png,0,0,0
Co Rd 246/img/1050_31.516108_-97.654000.png,0,0,0
Co Rd 246/img/1051_31.516279_-97.653933.png,0,0,0
Co Rd 246/img/1052_31.516450_-97.653865.png,0,1,0
Co Rd 246/img/1053_31.516621_-97.653797.png,0,1,0
Co Rd 246/img/1054_31.516791_-97.653730.png,0,1,0
Co Rd 246/img/1055_31.516962_-97.653662.png,0,1,0
Co Rd 246/img/1056_31.517133_-97.653595.png,0,0,0
Co Rd 246/img/1057_31.517304_-97.653528.png,0,1,0
Co Rd 246/img/1058_31.517475_-97.653460.png,0,1,0
Co Rd 246/img/1059_31.517646_-97.653393.png,0,1,0
Co Rd 246/img/105_31.480174_-97.699873.png,0,0,1
Co Rd 246/img/1060_31.517817_-97.653326.png,0,0,0
Co Rd 246/img/1061_31.517988_-97.653260.png,0,0,0
Co Rd 246/img/1062_31.518160_-97.653195.png,0,0,0
Co Rd 246/img/1063_31.518331_-97.653127.png,0,0,0
Co Rd 246/img/1064_31.518501_-97.653057.png,0,0,0
Co Rd 246/img/1065_31.518671_-97.652987.png,0,0,0
Co Rd 246/img/1066_31.518844_-97.652930.png,0,0,0
Co Rd 246/img/1067_31.489708_-97.554281.png,1,0,0
Co Rd 246/img/1068_31.489888_-97.554281.png,1,0,0
Co Rd 246/img/1069_31.490066_-97.554314.png,1,0,0
Co Rd 246/img/106_31.480335_-97.699777.png,0,0,0
Co Rd 246/img/1070_31.490231_-97.554396.png,1,0,0
Co Rd 246/img/1071_31.490393_-97.554489.png,1,0,0
Co Rd 246/img/1072_31.490550_-97.554593.png,1,0,0
Co Rd 246/img/1073_31.490705_-97.554700.png,1,0,1
Co Rd 246/img/1074_31.490860_-97.554808.png,1,0,0
Co Rd 246/img/1075_31.491015_-97.554915.png,1,0,1
Co Rd 246/img/1076_31.491171_-97.555022.png,1,0,0
Co Rd 246/img/1077_31.491326_-97.555130.png,1,0,0
Co Rd 246/img/1078_31.491481_-97.555237.png,1,0,0
Co Rd 246/img/1079_31.491636_-97.555345.png,1,0,0
Co Rd 246/img/107_31.480494_-97.699678.png,0,1,0
Co Rd 246/img/1080_31.491791_-97.555452.png,1,0,0
Co Rd 246/img/1081_31.491946_-97.555560.png,1,0,0
Co Rd 246/img/1082_31.492102_-97.555667.png,1,0,0
Co Rd 246/img/1083_31.492257_-97.555774.png,1,0,0
Co Rd 246/img/1084_31.492412_-97.555882.png,0,0,0
Co Rd 246/img/1085_31.492567_-97.555989.png,0,0,0
Co Rd 246/img/1086_31.492723_-97.556096.png,0,0,0
Co Rd 246/img/1087_31.492878_-97.556203.png,0,0,0
Co Rd 246/img/1088_31.493034_-97.556309.png,1,0,0
Co Rd 246/img/1089_31.493189_-97.556416.png,0,0,0
Co Rd 246/img/108_31.480654_-97.699580.png,0,0,0
Co Rd 246/img/1090_31.493345_-97.556522.png,0,0,0
Co Rd 246/img/1091_31.493500_-97.556629.png,1,0,0
Co Rd 246/img/1092_31.493656_-97.556736.png,1,0,0
Co Rd 246/img/1093_31.493811_-97.556842.png,0,0,1
Co Rd 246/img/1094_31.493967_-97.556949.png,0,0,1
Co Rd 246/img/1095_31.494123_-97.557056.png,0,0,1
Co Rd 246/img/1096_31.494278_-97.557162.png,0,0,0
Co Rd 246/img/1097_31.494434_-97.557269.png,1,0,0
Co Rd 246/img/1098_31.494589_-97.557376.png,1,0,0
Co Rd 246/img/1099_31.494745_-97.557483.png,1,0,1
Co Rd 246/img/109_31.480813_-97.699481.png,0,0,0
Co Rd 246/img/1100_31.494900_-97.557590.png,0,0,0
Co Rd 246/img/1101_31.495054_-97.557699.png,0,0,0
Co Rd 246/img/1102_31.495209_-97.557808.png,1,0,0
Co Rd 246/img/1103_31.495363_-97.557916.png,1,0,0
Co Rd 246/img/1104_31.495518_-97.558025.png,1,0,0
Co Rd 246/img/1105_31.495674_-97.558131.png,1,0,0
Co Rd 246/img/1106_31.495829_-97.558237.png,1,0,0
Co Rd 246/img/1107_31.495985_-97.558343.png,1,0,0
Co Rd 246/img/1108_31.496141_-97.558450.png,1,0,0
Co Rd 246/img/1109_31.496297_-97.558556.png,1,0,0
Co Rd 246/img/110_31.480970_-97.699377.png,0,0,0
Co Rd 246/img/1110_31.496452_-97.558662.png,1,0,1
Co Rd 246/img/1111_31.496608_-97.558769.png,1,0,0
Co Rd 246/img/1112_31.496763_-97.558877.png,1,0,0
Co Rd 246/img/1113_31.496917_-97.558985.png,1,0,0
Co Rd 246/img/1114_31.497072_-97.559094.png,1,0,0
Co Rd 246/img/1115_31.497227_-97.559202.png,1,0,1
Co Rd 246/img/1116_31.497382_-97.559310.png,1,0,0
Co Rd 246/img/1117_31.497536_-97.559418.png,1,0,1
Co Rd 246/img/1118_31.497691_-97.559527.png,1,0,0
Co Rd 246/img/1119_31.497846_-97.559635.png,1,0,0
Co Rd 246/img/111_31.481122_-97.699264.png,0,0,0
Co Rd 246/img/1120_31.498000_-97.559743.png,1,0,0
Co Rd 246/img/1121_31.498155_-97.559852.png,1,0,0
Co Rd 246/img/1122_31.498310_-97.559960.png,1,0,0
Co Rd 246/img/1123_31.498465_-97.560068.png,1,0,0
Co Rd 246/img/1124_31.498619_-97.560177.png,1,0,0
Co Rd 246/img/1125_31.498774_-97.560285.png,1,0,0
Co Rd 246/img/1126_31.498929_-97.560393.png,1,0,0
Co Rd 246/img/1127_31.499083_-97.560502.png,0,0,0
Co Rd 246/img/1128_31.499238_-97.560610.png,0,0,0
Co Rd 246/img/1129_31.499393_-97.560718.png,0,0,1
Co Rd 246/img/112_31.481270_-97.699145.png,0,0,0
Co Rd 246/img/1130_31.499547_-97.560827.png,1,0,0
Co Rd 246/img/1131_31.499702_-97.560935.png,1,0,0
Co Rd 246/img/1132_31.499857_-97.561043.png,1,0,0
Co Rd 246/img/1133_31.500012_-97.561152.png,1,0,0
Co Rd 246/img/1134_31.500166_-97.561260.png,1,0,0
Co Rd 246/img/1135_31.500322_-97.561367.png,1,0,0
Co Rd 246/img/1136_31.500477_-97.561474.png,1,0,0
Co Rd 246/img/1137_31.500632_-97.561582.png,1,0,0
Co Rd 246/img/1138_31.500787_-97.561689.png,1,0,0
Co Rd 246/img/1139_31.500944_-97.561794.png,1,0,0
Co Rd 246/img/113_31.481415_-97.699018.png,0,0,0
Co Rd 246/img/1140_31.501102_-97.561895.png,1,0,0
Co Rd 246/img/1141_31.501260_-97.561997.png,1,0,0
Co Rd 246/img/1142_31.501418_-97.562098.png,1,0,1
Co Rd 246/img/1143_31.501576_-97.562199.png,1,0,0
Co Rd 246/img/1144_31.501734_-97.562301.png,1,0,0
Co Rd 246/img/1145_31.501893_-97.562402.png,1,0,0
Co Rd 246/img/1146_31.502051_-97.562503.png,1,0,0
Co Rd 246/img/1147_31.502209_-97.562605.png,1,0,0
Co Rd 246/img/1148_31.502367_-97.562706.png,1,0,1
Co Rd 246/img/1149_31.502525_-97.562807.png,1,0,0
Co Rd 246/img/114_31.481552_-97.698882.png,0,0,0
Co Rd 246/img/1150_31.502684_-97.562907.png,1,0,1
Co Rd 246/img/1151_31.502843_-97.563007.png,0,0,0
Co Rd 246/img/1152_31.503001_-97.563108.png,0,0,1
Co Rd 246/img/1153_31.503160_-97.563208.png,0,0,0
Co Rd 246/img/1154_31.503319_-97.563308.png,0,0,0
Co Rd 246/img/1155_31.503477_-97.563408.png,0,0,0
Co Rd 246/img/1156_31.503635_-97.563510.png,0,0,0
Co Rd 246/img/1157_31.503793_-97.563612.png,0,0,0
Co Rd 246/img/1158_31.503951_-97.563714.png,0,0,0
Co Rd 246/img/1159_31.504108_-97.563816.png,0,0,0
Co Rd 246/img/115_31.481689_-97.698745.png,0,0,0
Co Rd 246/img/1160_31.504266_-97.563919.png,0,0,0
Co Rd 246/img/1161_31.504424_-97.564021.png,0,0,0
Co Rd 246/img/1162_31.504582_-97.564123.png,0,0,0
Co Rd 246/img/1163_31.504740_-97.564225.png,0,0,0
Co Rd 246/img/1164_31.504897_-97.564327.png,0,0,0
Co Rd 246/img/1165_31.505055_-97.564429.png,0,0,0
Co Rd 246/img/1166_31.505213_-97.564531.png,0,0,0
Co Rd 246/img/1167_31.505371_-97.564633.png,1,0,0
Co Rd 246/img/1168_31.505528_-97.564735.png,0,0,0
Co Rd 246/img/1169_31.505686_-97.564838.png,0,0,0
Co Rd 246/img/116_31.481818_-97.698598.png,0,0,0
Co Rd 246/img/1170_31.505845_-97.564938.png,1,0,0
Co Rd 246/img/1171_31.506004_-97.565037.png,0,0,0
Co Rd 246/img/1172_31.506163_-97.565135.png,1,0,0
Co Rd 246/img/1173_31.506323_-97.565234.png,1,0,0
Co Rd 246/img/1174_31.506482_-97.565333.png,1,0,0
Co Rd 246/img/1175_31.506641_-97.565434.png,1,0,0
Co Rd 246/img/1176_31.506798_-97.565537.png,1,0,0
Co Rd 246/img/1177_31.506955_-97.565640.png,1,0,1
Co Rd 246/img/1178_31.507112_-97.565743.png,1,0,0
Co Rd 246/img/1179_31.507270_-97.565846.png,1,0,0
Co Rd 246/img/117_31.481945_-97.698449.png,0,0,0
Co Rd 246/img/1180_31.507429_-97.565946.png,1,0,0
Co Rd 246/img/1181_31.507588_-97.566046.png,1,0,0
Co Rd 246/img/1182_31.507747_-97.566145.png,1,0,0
Co Rd 246/img/1183_31.507906_-97.566244.png,1,0,0
Co Rd 246/img/1184_31.508061_-97.566351.png,1,0,0
Co Rd 246/img/1185_31.508217_-97.566458.png,0,0,0
Co Rd 246/img/1186_31.508372_-97.566565.png,1,0,0
Co Rd 246/img/1187_31.508527_-97.566672.png,1,0,0
Co Rd 246/img/1188_31.508683_-97.566779.png,1,0,0
Co Rd 246/img/1189_31.508838_-97.566886.png,1,0,0
Co Rd 246/img/118_31.482062_-97.698289.png,0,0,0
Co Rd 246/img/1190_31.508993_-97.566993.png,1,0,0
Co Rd 246/img/1191_31.509149_-97.567100.png,1,0,0
Co Rd 246/img/1192_31.509304_-97.567207.png,1,0,0
Co Rd 246/img/1193_31.509458_-97.567316.png,1,0,0
Co Rd 246/img/1194_31.509612_-97.567426.png,1,0,0
Co Rd 246/img/1195_31.509767_-97.567535.png,1,0,0
Co Rd 246/img/1196_31.509921_-97.567644.png,1,0,0
Co Rd 246/img/1197_31.510076_-97.567752.png,1,0,0
Co Rd 246/img/1198_31.510231_-97.567860.png,1,0,0
Co Rd 246/img/1199_31.510386_-97.567968.png,1,0,0
Co Rd 246/img/119_31.482171_-97.698121.png,0,0,0
Co Rd 246/img/1200_31.510541_-97.568075.png,1,0,0
Co Rd 246/img/1201_31.510698_-97.568180.png,1,0,0
Co Rd 246/img/1202_31.510854_-97.568285.png,1,0,0
Co Rd 246/img/1203_31.511010_-97.568391.png,1,0,0
Co Rd 246/img/1204_31.511164_-97.568501.png,1,0,0
Co Rd 246/img/1205_31.511318_-97.568611.png,1,0,0
Co Rd 246/img/1206_31.511471_-97.568721.png,1,0,0
Co Rd 246/img/1207_31.511625_-97.568831.png,1,0,0
Co Rd 246/img/1208_31.511779_-97.568941.png,1,0,0
Co Rd 246/img/1209_31.511933_-97.569051.png,1,0,0
Co Rd 246/img/120_31.482275_-97.697949.png,1,0,0
Co Rd 246/img/1210_31.512087_-97.569161.png,1,0,0
Co Rd 246/img/1211_31.512241_-97.569271.png,1,0,0
Co Rd 246/img/1212_31.512396_-97.569378.png,1,0,0
Co Rd 246/img/1213_31.512552_-97.569484.png,1,0,0
Co Rd 246/img/1214_31.512708_-97.569589.png,1,0,1
Co Rd 246/img/1215_31.512864_-97.569695.png,1,0,0
Co Rd 246/img/1216_31.513020_-97.569800.png,1,0,0
Co Rd 246/img/1217_31.513177_-97.569906.png,1,0,0
Co Rd 246/img/1218_31.513333_-97.570011.png,1,0,0
Co Rd 246/img/1219_31.513489_-97.570117.png,0,0,0
Co Rd 246/img/121_31.482385_-97.697782.png,1,0,0
Co Rd 246/img/1220_31.513643_-97.570225.png,0,0,0
Co Rd 246/img/1221_31.513798_-97.570334.png,1,0,0
Co Rd 246/img/1222_31.513952_-97.570443.png,0,0,0
Co Rd 246/img/1223_31.514107_-97.570551.png,1,0,0
Co Rd 246/img/1224_31.514261_-97.570660.png,1,0,0
Co Rd 246/img/1225_31.514416_-97.570769.png,1,0,0
Co Rd 246/img/1226_31.514570_-97.570878.png,1,0,0
Co Rd 246/img/1227_31.514725_-97.570986.png,1,0,0
Co Rd 246/img/1228_31.514879_-97.571095.png,1,0,0
Co Rd 246/img/1229_31.515034_-97.571204.png,1,0,0
Co Rd 246/img/122_31.482495_-97.697616.png,1,0,0
Co Rd 246/img/1230_31.515188_-97.571313.png,1,0,0
Co Rd 246/img/1231_31.515342_-97.571422.png,1,0,0
Co Rd 246/img/1232_31.515497_-97.571531.png,1,0,0
Co Rd 246/img/1233_31.515651_-97.571641.png,1,0,0
Co Rd 246/img/1234_31.515805_-97.571750.png,1,0,0
Co Rd 246/img/1235_31.515959_-97.571859.png,1,0,1
Co Rd 246/img/1236_31.516114_-97.571968.png,1,0,0
Co Rd 246/img/1237_31.516268_-97.572078.png,0,0,0
Co Rd 246/img/1238_31.516422_-97.572187.png,0,0,0
Co Rd 246/img/1239_31.516576_-97.572296.png,0,0,0
Co Rd 246/img/123_31.482604_-97.697448.png,1,0,0
Co Rd 246/img/1240_31.516730_-97.572406.png,0,0,0
Co Rd 246/img/1241_31.516883_-97.572517.png,0,0,0
Co Rd 246/img/1242_31.517037_-97.572628.png,0,0,0
Co Rd 246/img/1243_31.517190_-97.572740.png,0,0,0
Co Rd 246/img/1244_31.517343_-97.572851.png,0,0,0
Co Rd 246/img/1245_31.517497_-97.572961.png,0,0,0
Co Rd 246/img/1246_31.517652_-97.573068.png,0,0,0
Co Rd 246/img/1247_31.517808_-97.573175.png,0,0,0
Co Rd 246/img/1248_31.517963_-97.573281.png,0,0,0
Co Rd 246/img/1249_31.518119_-97.573388.png,1,0,0
Co Rd 246/img/124_31.482713_-97.697280.png,1,0,0
Co Rd 246/img/1250_31.518274_-97.573496.png,0,0,0
Co Rd 246/img/1251_31.518429_-97.573604.png,0,0,0
Co Rd 246/img/1252_31.518583_-97.573712.png,0,0,0
Co Rd 246/img/1253_31.518738_-97.573820.png,0,0,0
Co Rd 246/img/1254_31.518893_-97.573928.png,0,0,0
Co Rd 246/img/1255_31.519048_-97.574036.png,0,0,0
Co Rd 246/img/1256_31.519203_-97.574144.png,0,0,0
Co Rd 246/img/1257_31.519358_-97.574252.png,0,0,0
Co Rd 246/img/1258_31.519512_-97.574361.png,0,0,0
Co Rd 246/img/1259_31.519662_-97.574468.png,0,0,0
Co Rd 246/img/125_31.482833_-97.697123.png,1,0,0
Co Rd 246/img/126_31.482961_-97.696974.png,1,0,0
Co Rd 246/img/127_31.483091_-97.696828.png,1,0,0
Co Rd 246/img/128_31.483221_-97.696682.png,1,0,0
Co Rd 246/img/129_31.483351_-97.696536.png,1,0,0
Co Rd 246/img/130_31.483492_-97.696405.png,1,0,0
Co Rd 246/img/131_31.483633_-97.696274.png,1,0,0
Co Rd 246/img/132_31.483782_-97.696156.png,1,0,0
Co Rd 246/img/133_31.483937_-97.696049.png,1,0,0
Co Rd 246/img/134_31.484092_-97.695942.png,1,0,0
Co Rd 246/img/135_31.484248_-97.695835.png,1,0,0
Co Rd 246/img/136_31.484407_-97.695735.png,1,0,0
Co Rd 246/img/137_31.484570_-97.695646.png,1,0,0
Co Rd 246/img/138_31.484733_-97.695557.png,1,0,1
Co Rd 246/img/139_31.484903_-97.695485.png,1,0,0
Co Rd 246/img/140_31.485074_-97.695418.png,1,0,0
Co Rd 246/img/141_31.485245_-97.695351.png,1,0,0
Co Rd 246/img/142_31.485416_-97.695284.png,1,0,0
Co Rd 246/img/143_31.485588_-97.695220.png,1,0,0
Co Rd 246/img/144_31.485759_-97.695155.png,1,0,0
Co Rd 246/img/145_31.485931_-97.695090.png,1,0,0
Co Rd 246/img/146_31.486103_-97.695026.png,1,0,0
Co Rd 246/img/147_31.486274_-97.694961.png,1,0,0
Co Rd 246/img/148_31.486446_-97.694895.png,1,0,0
Co Rd 246/img/149_31.486617_-97.694828.png,1,0,0
Co Rd 246/img/150_31.486788_-97.694762.png,1,0,0
Co Rd 246/img/151_31.486960_-97.694696.png,1,0,0
Co Rd 246/img/152_31.487131_-97.694630.png,1,0,0
Co Rd 246/img/153_31.487302_-97.694564.png,1,0,0
Co Rd 246/img/154_31.487475_-97.694504.png,1,0,0
Co Rd 246/img/155_31.487650_-97.694453.png,1,0,0
Co Rd 246/img/156_31.487826_-97.694406.png,1,0,0
Co Rd 246/img/157_31.488003_-97.694365.png,1,0,0
Co Rd 246/img/158_31.488180_-97.694324.png,1,0,0
Co Rd 246/img/159_31.488358_-97.694288.png,1,0,0
Co Rd 246/img/160_31.488535_-97.694252.png,1,0,0
Co Rd 246/img/161_31.488713_-97.694215.png,1,0,0
Co Rd 246/img/162_31.488887_-97.694160.png,1,0,0
Co Rd 246/img/163_31.489061_-97.694104.png,1,0,1
Co Rd 246/img/164_31.489233_-97.694040.png,1,0,0
Co Rd 246/img/165_31.489401_-97.693963.png,1,0,0
Co Rd 246/img/166_31.489566_-97.693879.png,1,0,0
Co Rd 246/img/167_31.489729_-97.693790.png,1,0,0
Co Rd 246/img/168_31.489888_-97.693691.png,1,0,0
Co Rd 246/img/169_31.490048_-97.693592.png,1,0,0
Co Rd 246/img/170_31.490207_-97.693493.png,1,0,0
Co Rd 246/img/171_31.490364_-97.693389.png,1,0,0
Co Rd 246/img/172_31.490521_-97.693286.png,1,1,0
Co Rd 246/img/173_31.490679_-97.693183.png,1,0,0
Co Rd 246/img/174_31.490836_-97.693080.png,1,0,0
Co Rd 246/img/175_31.490993_-97.692976.png,1,0,0
Co Rd 246/img/176_31.491150_-97.692873.png,1,0,0
Co Rd 246/img/177_31.491306_-97.692767.png,0,0,0
Co Rd 246/img/178_31.491462_-97.692661.png,0,0,0
Co Rd 246/img/179_31.491617_-97.692554.png,0,0,0
Co Rd 246/img/180_31.491775_-97.692452.png,0,0,0
Co Rd 246/img/181_31.491934_-97.692352.png,0,0,0
